op_cap,rev_cap,fte_pop,res_park,acres_park,num_par,cur_op,cur_cap,population,op_exp,rev,cap_bud,num_ft,num_nonft,tot_fte,tot_parks,tot_acres,num_nonpark,trail,num_pro,num_fee,Cluster,cluster,Distance to Missoula
11,4,1,156747,1575,9,95710715061,109675945,11756058,124728535,51429101,167083750,530,784,755,75,118152,0,1200,3890,0,1,1,183711321.78195104
74,12,7,8734,48,15,5626521000,2180453000,1624569,119678672,18978348,85801892,661,400,1061,186,8859,35,294,2178,1389,2,0,183711322.49804628
49,14,4,15651,85,255,5989209333,2126020094,1518152,74936527,21425774,16312546,600,623,585,97,8260,0,152,164,109,2,0,183711322.50546739
281,35,10,3757,18,13,14000000000,280000000,864000,243000000,30000000,170630017,845,824,849,230,4113,15,30,2500,2000,2,0,183711322.5905295
4,3,0,243857,1022,25,7853861783,705439079,2194710,9322182,7243004,9236897,48,93,80,9,9200,2,10,104,104,2,0,183711322.6372184
60,14,6,2209,34,224,1066054963,1260888156,905748,53898865,12506036,66535000,362,942,578,410,14042,116,130,8424,4560,0,0,183711322.64380148
81,0,8,6089,17,25,693656493,559073500,8804190,717223698,23368,761118000,4299,6900,6928,1446,24960,2828,91,6718,94,0,0,183711322.6446759
146,68,16,10204,49,6,2300436094,741178804,438756,64096446,29987485,25011000,355,1723,721,43,2116,21,63,42662,24300,0,0,183711322.68172467
75,10,5,3088,43,18,1537295017,769554827,917050,68832673,9178925,23572903,355,365,458,297,12892,1304,210,1944,1693,0,0,183711322.68978852
98,35,10,5395,22,105,685000000,821200000,242753,23829037,8407013,16400327,160,425,243,45,982,11,232,425,413,0,0,183711322.69690886
37,2,1,33012,21,11,106055593,502381392,2839000,106055593,6000000,502381392,240,400,243,86,1776,96,155,7335,5571,0,0,183711322.70989034
